GEO_CODE,DEGDAYHEAT,DEGDAYCOOL
530330050003,5950,104
530330051001,5940,97
530330051002,5950,105
530330051003,5944,103
530330052001,5958,110
530330052002,5951,111
530330052003,5953,112
530330052004,5945,107
530330052005,5952,110
530330053011,5938,102
530330053012,5936,101
530330053013,5932,98
530330053014,5924,93
530330053021,5939,96
530330053022,5946,93
530330236032,4737,425
530330236033,4722,393
530330236034,4725,393
530330236041,4679,344
530330236042,4722,428
530330236043,4747,389
530330236044,4747,389
530330237001,4715,372
530330237002,4611,342
530330237003,4626,387
530330238011,4643,328
530330238012,4649,343
530330238031,4673,317
530330238032,4672,317
530330238041,4684,333
530330238042,4683,333
530330238043,4683,333
530330239001,4611,384
530330239002,4626,425
530330239003,4654,373
530330239004,4658,316
530330240001,4784,288
530330240002,4796,285
530330240003,4734,299
530330240004,4789,284
530330241001,4891,263
530330241002,5024,235
530330241003,5015,241
530330241004,5049,232
530330242001,4925,282
530330242002,4958,259
530330054001,5946,92
530330054002,5952,100
530330054003,5966,108
530330054004,5981,100
530330056001,5958,76
530330056002,5959,76
530330056003,5967,84
530330056004,5945,66
530330056005,5962,79
530330057001,5946,70
530330057002,5979,94
530330057003,5999,122
530330057004,5996,120
530330057005,5975,90
530330057006,5969,92
530330058011,5935,72
530330058012,5943,72
530330058013,5941,67
530330058014,5964,84
530330058021,5927,58
530330058022,5959,84
530330058023,5934,68
530330059001,5940,76
530330059002,5937,77
530330059003,5927,75
530330059004,5947,84
530330059005,5927,76
530330060001,5934,81
530330060002,5923,84
530330060003,5925,86
530330060004,5902,74
530330243001,4965,283
530330243002,5205,180
530330243003,4943,293
530330243004,4768,374
530330243005,4774,359
530330244001,4722,428
530330244002,4878,331
530330245001,4778,380
530330245002,4739,474
530330245003,4695,488
530330246011,4769,444
530330246012,4656,523
530330246013,4732,472
530330246021,4688,476
530330246022,4742,473
530330246023,4804,399
530330247011,4677,580
530330247012,4683,621
530330247013,4665,596
530330247021,4720,516
530330247022,4752,537
530330247023,4737,529
530330247024,4734,524
530330247025,4725,516
530330248001,4701,506
530330248002,4717,533
530330248003,4717,540
530330249011,4696,533
530330249012,4729,559
530330249013,4766,570
530330249014,4737,573
530330061001,5912,79
530330061002,5884,87
530330061003,5878,63
530330061004,5828,70
530330062001,5831,84
530330062002,5602,123
530330062003,5800,94
530330063001,5766,86
530330063002,5709,104
530330063003,5816,67
530330063004,5846,61
530330064001,5863,55
530330064002,5871,51
530330064003,5874,59
530330065001,5891,62
530330065002,5897,62
530330065003,5887,63
530330066001,5899,64
530330066002,5892,52
530330067001,5910,65
530330067002,5917,66
530330067003,5912,62
530330067004,5917,63
530330068001,5926,69
530330068002,5918,58
530330069001,5922,61
530330069002,5920,62
530330069003,5905,58
530330069004,5899,52
530330070001,5897,50
530330070002,5883,42
530330249021,4774,596
530330249022,4729,604
530330249023,4743,601
530330249031,4747,622
530330249032,4786,606
530330249033,4785,645
530330249034,4749,683
530330250011,4770,775
530330250012,4765,774
530330250013,4737,733
530330250014,4755,755
530330250031,4807,698
530330250032,4703,648
530330250033,4701,648
530330250034,4705,648
530330250035,4696,647
530330250051,4695,574
530330250052,4689,574
530330250061,4690,549
530330250062,4689,549
530330250063,4688,549
530330251011,4681,683
530330251012,4684,684
530330251013,4680,683
530330251014,4694,709
530330251021,4700,715
530330251022,4679,707
530330251023,4680,707
530330251024,4681,707
530330252001,4706,703
530330070003,5907,55
530330070004,5893,44
530330070005,5882,42
530330070006,5891,42
530330071001,5868,35
530330071002,5864,35
530330072001,5866,41
530330072002,5863,38
530330072003,5861,38
530330073001,5875,45
530330073002,5866,47
530330073003,5862,44
530330074011,5839,31
530330074012,5856,37
530330074013,5837,30
530330074014,5850,37
530330074021,5855,41
530330074022,5867,45
530330074023,5858,45
530330075001,5844,34
530330075002,5853,40
530330075003,5851,43
530330075004,5851,45
530330075005,5845,42
530330076001,5816,41
530330076002,5778,63
530330076003,5751,59
530330077001,5811,51
530330077002,5676,56
530330077003,5493,114
530330077004,5631,60
530330252002,4664,614
530330252003,4668,690
530330252004,4706,736
530330252005,4701,735
530330253011,4720,664
530330253012,4729,692
530330253013,4715,719
530330253021,4709,722
530330253022,4688,659
530330253023,4698,717
530330254001,4699,733
530330254002,4732,752
530330254003,4713,734
530330254004,4723,749
530330255001,4771,767
530330255002,4719,748
530330255003,4766,765
530330256011,4764,765
530330256012,4729,749
530330256013,4727,749
530330256021,4737,752
530330256022,4761,761
530330256023,4776,768
530330257011,4773,723
530330257012,4758,761
530330257013,4774,721
530330257014,4760,760
530330257015,4755,760
530330257021,4779,728
530330257022,4783,742
530330257023,4784,770
530330078001,5664,67
530330078002,5676,78
530330078003,5813,38
530330078004,5829,29
530330079001,5835,34
530330079002,5844,38
530330079003,5869,32
530330079004,5859,27
530330079005,5874,23
530330080011,5875,23
530330080012,5872,23
530330080013,5830,14
530330080014,5828,14
530330080015,5827,14
530330080021,5847,23
530330080022,5844,23
530330081001,5844,24
530330081002,5849,26
530330081003,5841,24
530330082001,5841,23
530330082002,5841,26
530330082003,5844,30
530330083001,5839,27
530330083002,5850,31
530330084001,5827,17
530330084002,5827,19
530330084003,5826,17
530330085001,5816,15
530330085002,5830,18
530330085003,5830,26
530330086001,5821,18
530330258031,4752,610
530330258032,4765,602
530330258033,4749,610
530330258041,4780,710
530330258042,4828,782
530330258043,4744,593
